BugId,CId,project,ER_QA,R_QA,ER_Electra,R_Electra,ER_MLM,R_MLM,CodeBERT_MLM,CodeBERT_Base
9440,383214,JDT,8,11,1,11,1,10,1,1
9228,381735,JDT,8,11,4,10,3,8,6,7
9112,378675,JDT,11,9,1,1,1,11,1,1
17317,376992,JDT,11,11,5,3,4,1,8,8
17603,376074,JDT,3,8,4,8,3,4,5,6
18034,375411,JDT,4,5,7,6,7,7,1,1
17916,373779,JDT,3,6,3,8,3,11,2,3
16230,371841,JDT,11,11,1,11,1,9,3,3
18510,369597,JDT,10,11,3,11,3,10,5,5
20508,368016,JDT,3,11,2,1,2,10,4,4
19702,367200,JDT,10,7,3,4,1,1,6,6
23188,365874,JDT,1,11,1,10,1,10,2,2
23528,364446,JDT,7,9,5,9,5,11,5,5
23528,364242,JDT,7,9,4,9,5,11,1,5
124839,359754,Birt,1,10,3,10,1,10,3,2
117149,359397,Birt,10,8,6,8,6,9,10,11
125060,356643,Birt,11,1,4,11,4,2,8,10
26452,356235,JDT,2,11,3,10,3,10,5,3
127070,355368,Birt,11,7,10,8,5,9,10,9
129700,355317,Birt,11,8,9,5,9,7,9,11
27075,354144,JDT,9,7,1,9,6,7,6,8
128359,353634,Birt,9,10,7,8,8,2,9,10
23553,353277,JDT,3,2,4,3,5,5,2,2
28369,352869,JDT,8,11,2,2,4,11,2,2
28250,352257,JDT,6,2,2,2,2,1,2,2
29161,351849,JDT,10,11,1,11,1,11,1,1
28824,351441,JDT,1,11,4,10,5,6,7,5
29698,350931,JDT,1,10,3,9,3,11,6,6
26366,350676,Eclipse_Platform_UI,10,2,6,7,6,3,10,8
26435,350523,Eclipse_Platform_UI,11,10,5,11,3,5,4,3
134057,349503,Birt,6,6,6,6,5,8,6,5
27807,348993,JDT,7,4,9,2,11,4,8,8
30786,348534,JDT,5,6,5,7,4,5,1,5
29711,347616,JDT,9,9,3,11,3,5,7,8
131008,347208,Birt,7,11,11,11,11,11,11,11
131008,347055,Birt,5,4,5,9,5,1,11,11
29107,346392,Eclipse_Platform_UI,4,7,6,11,8,5,6,5
25324,346188,JDT,11,11,1,11,1,11,1,1
134948,345780,Birt,1,3,6,8,7,7,6,8
31150,344556,JDT,1,10,2,10,2,10,1,1
34729,344556,Eclipse_Platform_UI,11,9,3,11,3,10,8,8
35192,344505,Eclipse_Platform_UI,6,11,3,2,3,9,6,6
136067,343587,Birt,5,8,11,1,7,8,9,9
38782,343485,Eclipse_Platform_UI,9,11,1,11,1,4,5,5
131649,342822,Birt,11,5,11,8,8,1,9,10
44443,340884,Eclipse_Platform_UI,3,11,9,11,3,3,9,9
136256,339813,Birt,3,9,9,6,9,4,9,9
38462,339507,Eclipse_Platform_UI,4,8,10,11,5,10,10,10
49005,339405,Eclipse_Platform_UI,10,8,8,11,7,11,10,11
50151,339252,Eclipse_Platform_UI,8,11,10,11,8,5,9,9
28720,338640,JDT,2,6,4,4,4,5,1,3
138556,337722,Birt,2,6,4,6,7,5,8,10
50022,337467,Eclipse_Platform_UI,8,9,1,2,2,1,1,1
53424,337059,Eclipse_Platform_UI,9,2,10,5,10,11,4,5
33034,336345,JDT,8,11,1,11,1,11,1,1
32831,336192,JDT,2,9,5,8,1,10,1,1
53565,335580,Eclipse_Platform_UI,5,7,7,10,8,4,2,3
32987,335325,JDT,9,11,1,11,1,11,1,1
139110,334254,Birt,2,3,5,10,5,5,6,8
139365,333387,Birt,8,5,9,6,7,6,11,10
58095,333234,Eclipse_Platform_UI,11,10,3,5,5,3,10,10
135444,332316,Birt,3,9,5,11,5,9,9,10
55827,331959,Eclipse_Platform_UI,5,10,4,11,2,10,8,8
132943,331908,Birt,9,5,6,11,7,4,8,6
60277,331755,Eclipse_Platform_UI,4,8,9,5,8,7,6,9
138562,331398,Birt,7,6,3,11,6,11,7,7
32626,329205,JDT,5,10,9,4,8,3,9,7
143105,329154,Birt,10,8,4,11,1,11,11,11
32906,326400,JDT,11,2,11,10,11,1,2,2
65711,326196,Eclipse_Platform_UI,5,5,7,8,7,8,8,6
66439,325686,Eclipse_Platform_UI,8,11,1,1,1,1,5,7
34335,325584,JDT,2,11,1,11,1,11,1,1
132914,325533,Birt,3,3,9,8,5,7,11,11
65444,325482,Eclipse_Platform_UI,1,6,8,8,9,11,10,11
143104,324105,Birt,9,7,11,6,9,1,9,11
36498,323493,JDT,6,11,1,11,1,11,1,1
36498,323085,JDT,11,11,1,1,11,11,1,1
73027,322932,Eclipse_Platform_UI,10,11,6,1,8,2,4,5
73027,322881,Eclipse_Platform_UI,3,5,8,10,3,2,4,3
142430,322116,Birt,11,10,10,8,7,11,9,11
76506,320892,Eclipse_Platform_UI,5,3,6,1,4,7,3,1
72426,320637,Eclipse_Platform_UI,6,8,7,3,8,3,8,9
145303,320637,Birt,7,8,10,10,10,6,10,11
37197,320331,JDT,9,10,5,8,1,11,4,3
56973,319821,Eclipse_Platform_UI,4,9,3,9,10,8,6,7
37399,319617,JDT,3,11,6,11,1,11,10,10
145724,319617,Birt,11,9,8,5,11,7,11,11
77738,319311,Eclipse_Platform_UI,10,9,10,10,8,11,10,10
145698,318903,Birt,11,7,9,6,7,6,9,9
145970,318750,Birt,2,5,3,11,3,2,7,8
38299,318087,JDT,10,2,9,4,10,1,4,4
81598,317883,Eclipse_Platform_UI,4,10,8,11,3,10,4,2
146481,317424,Birt,1,9,2,4,1,9,1,1
146548,316506,Birt,9,6,3,11,3,3,2,1
147218,315486,Birt,3,1,2,7,2,6,8,8
84586,314772,Eclipse_Platform_UI,10,7,7,10,7,7,9,10
40347,313803,JDT,3,10,11,9,11,8,3,3
147819,313752,Birt,8,2,4,10,1,7,9,10
148747,312069,Birt,5,9,2,9,1,9,9,11
148747,311967,Birt,5,3,2,9,7,9,6,6
148724,311763,Birt,9,3,7,5,9,6,8,8
148392,310284,Birt,1,5,9,11,8,4,5,3
41798,310182,JDT,1,11,1,11,1,11,2,1
148743,308907,Birt,3,9,4,11,3,8,7,8
146867,308856,Birt,7,6,4,1,10,10,1,2
150347,308346,Birt,1,7,6,3,7,10,3,5
150347,308142,Birt,11,6,5,9,5,1,6,5
40952,307989,JDT,10,8,9,10,9,3,9,9
89139,307428,Eclipse_Platform_UI,7,1,7,11,7,3,8,8
132401,306714,Birt,8,6,8,11,3,6,8,11
88653,306561,Eclipse_Platform_UI,1,6,6,11,8,6,3,4
142787,305541,Birt,5,9,6,7,2,10,8,9
45509,304419,JDT,2,10,6,7,6,10,7,6
121383,304419,Birt,3,11,5,3,1,1,10,10
45517,303909,JDT,3,10,3,10,3,10,5,3
46351,302532,JDT,3,4,5,3,5,6,3,1
94438,302328,Eclipse_Platform_UI,2,11,1,1,2,10,1,2
46946,301665,JDT,4,8,5,10,4,9,4,5
71640,301410,Eclipse_Platform_UI,3,4,2,1,2,11,4,4
95974,301155,Eclipse_Platform_UI,7,10,6,11,2,8,8,9
96114,301002,Eclipse_Platform_UI,3,1,8,4,7,4,2,2
154328,300594,Birt,11,10,9,9,8,8,10,11
48122,300237,JDT,3,5,3,3,5,5,4,4
48122,300084,JDT,3,5,5,4,4,5,4,5
98332,299829,Eclipse_Platform_UI,3,5,7,4,8,7,5,6
47874,298197,JDT,7,9,3,6,4,6,8,7
105809,296514,Eclipse_Platform_UI,3,9,3,11,9,9,10,10
105665,296259,Eclipse_Platform_UI,1,10,6,11,6,7,5,7
82743,294780,Eclipse_Platform_UI,10,10,7,9,4,9,10,10
50100,294066,JDT,3,8,2,8,2,9,5,4
68787,293607,Eclipse_Platform_UI,8,9,10,2,11,5,9,10
151361,292842,Birt,4,1,2,5,6,1,6,6
155496,292332,Birt,5,2,10,6,10,10,9,8
90646,291975,Eclipse_Platform_UI,9,3,10,4,9,9,11,11
108143,291414,Eclipse_Platform_UI,5,9,5,10,6,10,4,4
108624,291210,Eclipse_Platform_UI,2,4,7,2,3,4,2,5
156166,290955,Birt,1,11,7,11,6,10,3,3
107377,290088,Eclipse_Platform_UI,10,9,5,9,7,2,7,3
49838,289527,JDT,10,11,6,8,2,11,7,7
112490,289323,Eclipse_Platform_UI,8,5,9,3,7,3,9,8
53839,289272,JDT,11,6,4,5,2,11,7,6
157135,289221,Birt,6,3,7,11,8,4,1,1
113557,288864,Eclipse_Platform_UI,1,1,1,1,1,1,1,1
46341,288711,JDT,1,8,3,9,3,8,6,5
157722,288711,Birt,10,4,7,8,9,2,9,8
155551,288252,Birt,4,7,5,9,4,10,9,11
114390,287844,Eclipse_Platform_UI,1,3,1,1,1,1,4,3
114390,287589,Eclipse_Platform_UI,4,3,4,4,4,5,4,4
146208,287589,Birt,3,4,10,4,11,7,11,10
43248,286926,JDT,1,11,1,11,1,11,1,1
160276,286161,Birt,9,6,11,1,11,3,9,6
34739,285804,SWT,8,11,8,1,9,10,2,6
33529,285141,SWT,10,9,3,2,6,3,6,7
53000,285039,JDT,11,8,11,7,11,7,7,7
56459,284631,JDT,3,1,1,5,1,1,5,5
160650,284631,Birt,7,2,8,11,6,1,7,4
35773,284580,SWT,6,10,6,3,6,3,8,8
56459,284529,JDT,4,1,1,5,2,1,5,5
49527,284478,JDT,4,6,1,8,3,7,5,5
161912,283356,Birt,2,3,10,10,10,4,10,10
103299,282693,Eclipse_Platform_UI,6,3,1,10,2,1,6,6
58778,282591,JDT,3,1,3,3,3,3,2,2
53888,282489,JDT,11,8,10,5,10,11,9,7
59476,282336,Eclipse_Platform_UI,7,9,1,5,1,10,5,4
163732,281877,Birt,4,9,8,8,8,8,6,1
84314,281265,Eclipse_Platform_UI,10,9,5,11,1,11,7,8
37212,281112,SWT,9,10,5,1,6,5,6,5
47010,280500,JDT,4,11,1,1,1,9,1,1
122053,280449,Eclipse_Platform_UI,9,3,10,5,8,8,2,1
161222,280194,Birt,9,3,6,11,3,2,3,3
60715,279939,JDT,5,9,4,8,4,8,2,2
123977,279480,Eclipse_Platform_UI,1,1,1,1,1,1,2,2
120921,279174,Eclipse_Platform_UI,11,4,5,8,6,11,11,11
60101,279072,JDT,1,11,3,2,3,3,2,1
123496,279021,Eclipse_Platform_UI,11,8,7,9,8,9,9,9
33166,278919,SWT,2,3,1,1,1,1,1,1
24700,278613,SWT,9,9,9,11,10,10,11,11
166029,278358,Birt,11,4,8,11,5,1,9,10
38482,278154,JDT,10,5,11,11,11,6,10,9
33359,278103,SWT,11,11,8,1,6,1,9,1
123989,277797,Eclipse_Platform_UI,10,6,6,6,11,11,9,9
44204,277644,JDT,2,11,2,10,2,11,2,2
44204,277491,JDT,1,11,1,10,2,11,1,1
37782,276573,SWT,10,7,10,3,10,7,8,7
123375,276522,Eclipse_Platform_UI,5,3,5,11,6,5,11,11
57569,276267,JDT,1,1,1,1,1,1,2,2
61005,276063,JDT,11,11,2,11,2,11,2,2
123375,275961,Eclipse_Platform_UI,6,7,6,11,11,11,11,9
123375,275706,Eclipse_Platform_UI,7,7,6,11,11,11,11,11
166443,274839,Birt,5,8,11,9,9,5,11,11
113178,274278,Eclipse_Platform_UI,1,4,4,1,7,6,1,4
40156,273717,SWT,6,1,6,10,3,2,10,10
32006,272952,SWT,11,7,5,6,10,11,11,11
126779,272748,Eclipse_Platform_UI,11,11,1,11,1,10,8,9
62863,272595,JDT,1,1,1,2,1,2,2,2
127861,271218,Eclipse_Platform_UI,7,7,1,11,1,11,11,11
172097,271065,Birt,4,11,9,7,7,5,8,10
43011,270861,SWT,6,11,2,9,4,5,3,3
63769,270708,JDT,11,11,11,11,11,11,1,1
63529,270657,JDT,10,8,1,8,1,10,5,5
63845,270045,JDT,1,2,1,1,1,1,4,2
127861,269688,Eclipse_Platform_UI,7,1,1,11,1,1,11,11
127861,268617,Eclipse_Platform_UI,7,11,7,11,1,1,11,11
127861,268464,Eclipse_Platform_UI,7,7,7,11,1,1,11,11
64897,268413,JDT,10,11,1,11,1,11,2,2
175406,267342,Birt,6,11,3,10,4,1,7,6
166015,266679,Birt,3,3,7,7,7,7,4,4
46037,265506,SWT,5,9,6,10,9,1,9,9
127861,265506,Eclipse_Platform_UI,7,1,1,11,1,11,11,11
66092,265251,JDT,1,10,1,10,2,11,1,1
147977,265251,Birt,4,11,8,10,3,11,10,10
28684,265200,SWT,8,7,7,3,4,5,7,8
51026,263772,JDT,11,11,2,11,6,11,3,3
176875,263466,Birt,7,4,10,10,9,6,10,9
66548,263160,JDT,1,2,2,5,6,10,3,4
66664,263058,JDT,5,8,8,11,5,7,7,6
32828,262548,SWT,11,11,2,1,3,11,1,1
67046,262344,JDT,1,1,1,1,1,1,1,1
173601,262242,Birt,7,10,9,8,8,11,7,7
127523,261630,Eclipse_Platform_UI,9,7,4,11,4,11,4,6
127523,261528,Eclipse_Platform_UI,2,1,1,5,8,3,1,2
129246,261426,Eclipse_Platform_UI,2,11,5,8,2,5,2,2
177870,261426,Birt,4,5,8,11,6,6,11,9
63688,260865,JDT,11,11,1,11,1,11,2,2
152443,260406,Birt,11,11,6,8,11,10,8,9
172604,260253,Birt,11,10,7,6,3,10,7,10
178179,258927,Birt,11,9,1,1,2,1,9,10
126839,258774,Eclipse_Platform_UI,1,11,11,11,11,1,11,11
178179,258672,Birt,3,6,2,7,2,6,5,9
72046,258111,JDT,1,1,2,3,1,5,7,7
72046,258060,JDT,1,4,1,1,1,1,5,2
55920,257958,SWT,5,11,2,10,2,7,9,9
55522,257805,SWT,11,3,9,11,11,1,9,11
55541,257295,SWT,10,4,8,10,8,1,9,8
175954,257244,Birt,1,10,6,11,3,4,9,9
73890,257193,JDT,11,10,2,11,2,10,4,3
175954,257142,Birt,11,8,6,6,3,1,9,11
177864,256683,Birt,11,2,10,5,10,2,10,11
126839,256530,Eclipse_Platform_UI,1,1,1,11,1,4,11,11
126839,256275,Eclipse_Platform_UI,1,1,1,11,8,4,11,11
177864,256275,Birt,11,7,10,5,10,2,10,9
177864,256173,Birt,8,8,10,10,6,7,9,8
54575,254541,SWT,6,3,3,9,1,9,9,9
59528,254439,SWT,4,9,4,10,7,11,9,9
55748,254337,SWT,3,9,5,10,5,10,3,11
132101,253929,Eclipse_Platform_UI,11,10,3,8,3,11,10,10
180414,253827,Birt,1,1,1,7,5,3,8,9
131978,253521,Eclipse_Platform_UI,7,9,3,7,2,8,9,10
180189,253317,Birt,11,11,1,10,1,9,3,3
77839,253164,JDT,5,7,2,10,1,1,5,4
63154,253062,SWT,10,6,1,7,1,1,8,5
56063,252858,SWT,7,6,6,1,6,7,6,7
77439,252807,JDT,3,5,4,2,6,4,5,5
63003,252348,SWT,8,6,2,2,1,10,2,1
62982,251736,SWT,7,4,5,7,7,6,9,9
130338,251430,Eclipse_Platform_UI,1,1,3,11,3,8,10,8
148626,251226,Birt,11,6,9,7,8,9,6,10
135088,251022,Eclipse_Platform_UI,4,1,1,8,3,1,3,4
180842,250308,Birt,3,1,11,3,10,1,5,5
65695,249594,SWT,5,10,7,4,8,7,3,5
67355,249135,SWT,3,11,6,8,6,8,3,1
77950,248931,JDT,11,10,7,5,1,1,1,1
58642,248880,SWT,9,5,10,11,10,9,11,11
66717,248829,SWT,5,10,2,5,1,4,3,5
78051,248676,JDT,11,1,1,11,1,1,1,1
68096,248319,SWT,5,11,5,1,5,11,4,4
137310,248268,Eclipse_Platform_UI,10,1,2,11,1,1,6,5
79989,247962,JDT,11,11,1,11,1,11,1,1
137640,247197,Eclipse_Platform_UI,5,9,2,9,1,10,5,7
137640,247146,Eclipse_Platform_UI,4,9,5,9,1,10,6,10
74627,247044,JDT,8,7,5,11,7,11,4,3
180879,247044,Birt,5,11,3,9,1,8,8,9
66354,246942,JDT,10,11,1,11,1,11,1,1
70160,246534,SWT,11,11,5,10,9,2,3,2
138824,246483,Eclipse_Platform_UI,9,1,1,9,4,9,4,6
138404,246279,Eclipse_Platform_UI,5,1,6,9,1,2,7,7
68273,245667,SWT,6,9,3,4,3,9,9,9
139511,245616,Eclipse_Platform_UI,10,11,8,11,5,10,11,11
136724,245055,Eclipse_Platform_UI,2,11,2,5,1,7,8,9
182519,244596,Birt,1,5,1,10,3,9,4,4
57188,244341,SWT,4,8,4,10,5,4,7,8
180645,243933,Birt,11,10,4,8,9,10,7,8
180366,243678,Birt,10,11,9,11,8,11,8,10
147545,243372,Eclipse_Platform_UI,6,2,4,11,2,7,8,8
147737,242760,Eclipse_Platform_UI,11,7,1,6,1,11,11,11
74241,242250,SWT,9,8,8,3,9,5,2,2
82475,241893,JDT,4,1,5,9,4,3,5,6
176299,241842,Birt,10,1,1,1,1,1,1,1
