BugId,CId,project,position
9112,378675,JDT,11
9228,381735,JDT,8
9440,383214,JDT,10
16230,371841,JDT,9
17317,376992,JDT,1
17603,376074,JDT,4
17916,373779,JDT,11
18034,375411,JDT,7
18510,369597,JDT,10
19702,367200,JDT,1
20508,368016,JDT,10
23188,365874,JDT,10
23528,364242,JDT,11
23528,364446,JDT,11
23553,353277,JDT,5
24700,278613,SWT,10
25324,346188,JDT,11
26366,350676,Eclipse_Platform_UI,3
26435,350523,Eclipse_Platform_UI,5
26452,356235,JDT,10
27075,354144,JDT,7
27807,348993,JDT,4
28250,352257,JDT,1
28369,352869,JDT,11
28684,265200,SWT,5
28720,338640,JDT,5
28824,351441,JDT,6
29107,346392,Eclipse_Platform_UI,5
29161,351849,JDT,11
29698,350931,JDT,11
29711,347616,JDT,5
30786,348534,JDT,5
31150,344556,JDT,10
32006,272952,SWT,11
32626,329205,JDT,3
32828,262548,SWT,11
32831,336192,JDT,10
32906,326400,JDT,1
32987,335325,JDT,11
33034,336345,JDT,11
33166,278919,SWT,1
33359,278103,SWT,1
33529,285141,SWT,3
34159,203388,SWT,11
34335,325584,JDT,11
34729,344556,Eclipse_Platform_UI,10
34739,285804,SWT,10
35192,344505,Eclipse_Platform_UI,9
35773,284580,SWT,3
36498,323085,JDT,11
36498,323493,JDT,11
37197,320331,JDT,11
37212,281112,SWT,5
37399,319617,JDT,11
37782,276573,SWT,7
38299,318087,JDT,1
38352,35190,Tomcat,9
38462,339507,Eclipse_Platform_UI,10
38482,278154,JDT,6
38782,343485,Eclipse_Platform_UI,4
39396,36618,Tomcat,3
40156,273717,SWT,2
40243,239088,JDT,3
40347,313803,JDT,8
40952,307989,JDT,3
41798,310182,JDT,11
42409,37128,Tomcat,4
42579,35445,Tomcat,11
43011,270861,SWT,5
43080,38454,Tomcat,11
43150,38760,Tomcat,7
43191,38556,Tomcat,1
43248,286926,JDT,11
43611,40239,Tomcat,8
43743,39780,Tomcat,6
43909,39984,Tomcat,8
43944,40035,Tomcat,5
44084,40137,Tomcat,10
44088,40086,Tomcat,9
44204,277491,JDT,11
44204,277644,JDT,11
44380,38964,Tomcat,10
44392,39117,Tomcat,11
44443,340884,Eclipse_Platform_UI,3
44558,39372,Tomcat,5
44646,39321,Tomcat,3
45509,304419,JDT,10
45517,303909,JDT,10
45591,38097,Tomcat,5
45608,37893,Tomcat,1
45691,37638,Tomcat,4
46011,37077,Tomcat,7
46037,265506,SWT,1
46075,37230,Tomcat,1
46096,37281,Tomcat,10
46341,288711,JDT,8
46351,302532,JDT,6
46408,36873,Tomcat,5
46696,36516,Tomcat,4
46946,301665,JDT,9
46950,33864,Tomcat,5
46950,33915,Tomcat,1
47010,280500,JDT,9
47161,33813,Tomcat,4
47216,35292,Tomcat,5
47320,33609,Tomcat,1
47364,33456,Tomcat,7
47378,34221,Tomcat,8
47440,34986,Tomcat,7
47502,32079,Tomcat,3
47576,34272,Tomcat,8
47874,298197,JDT,6
48120,33099,Tomcat,3
48122,300084,JDT,5
48122,300237,JDT,5
48135,32895,Tomcat,1
48174,32793,Tomcat,2
48248,32385,Tomcat,7
48285,32181,Tomcat,3
48371,31263,Tomcat,11
48643,31416,Tomcat,7
48662,30906,Tomcat,5
48662,30957,Tomcat,5
48689,29121,Tomcat,7
48689,29325,Tomcat,9
48689,29427,Tomcat,11
48689,29478,Tomcat,9
48689,29529,Tomcat,7
48960,27999,Tomcat,7
49005,339405,Eclipse_Platform_UI,11
49045,30396,Tomcat,9
49091,30549,Tomcat,11
49102,26622,Tomcat,9
49102,26673,Tomcat,11
49109,30192,Tomcat,4
49109,30345,Tomcat,9
49127,27795,Tomcat,7
49142,22644,Tomcat,11
49142,23001,Tomcat,11
49142,23103,Tomcat,10
49142,23256,Tomcat,10
49142,23307,Tomcat,10
49142,23562,Tomcat,11
49142,24021,Tomcat,11
49142,24123,Tomcat,10
49142,24174,Tomcat,10
49142,24327,Tomcat,11
49142,24378,Tomcat,10
49142,24429,Tomcat,10
49142,24990,Tomcat,10
49143,29580,Tomcat,9
49207,29019,Tomcat,5
49221,28713,Tomcat,6
49340,28662,Tomcat,9
49376,28356,Tomcat,11
49376,28458,Tomcat,8
49407,27591,Tomcat,5
49445,28203,Tomcat,9
49445,28254,Tomcat,3
49478,28050,Tomcat,9
49525,28101,Tomcat,6
49527,284478,JDT,7
49617,27693,Tomcat,3
49617,27744,Tomcat,10
49721,27336,Tomcat,11
49730,26265,Tomcat,11
49749,27234,Tomcat,5
49831,26877,Tomcat,6
49838,289527,JDT,11
49892,26826,Tomcat,11
49924,26724,Tomcat,3
50021,26367,Tomcat,8
50022,337467,Eclipse_Platform_UI,1
50027,26010,Tomcat,1
50054,26061,Tomcat,9
50054,26112,Tomcat,11
50087,25959,Tomcat,1
50100,294066,JDT,9
50151,339252,Eclipse_Platform_UI,5
50168,25602,Tomcat,11
50168,25755,Tomcat,1
50168,25806,Tomcat,3
50207,25245,Tomcat,1
50308,25347,Tomcat,2
50308,25398,Tomcat,1
51026,263772,JDT,11
53000,285039,JDT,7
53424,337059,Eclipse_Platform_UI,11
53565,335580,Eclipse_Platform_UI,4
53839,289272,JDT,11
53888,282489,JDT,11
54426,190383,SWT,1
54575,254541,SWT,9
55522,257805,SWT,1
55541,257295,SWT,1
55748,254337,SWT,10
55827,331959,Eclipse_Platform_UI,10
55920,257958,SWT,7
56063,252858,SWT,7
56459,284529,JDT,1
56459,284631,JDT,1
56779,31926,AspectJ,11
56779,32028,AspectJ,11
56779,32232,AspectJ,11
56779,32283,AspectJ,8
56779,32385,AspectJ,9
56973,319821,Eclipse_Platform_UI,8
57188,244341,SWT,4
57569,276267,JDT,1
58095,333234,Eclipse_Platform_UI,3
58642,248880,SWT,9
58778,282591,JDT,3
59076,41616,AspectJ,11
59476,282336,Eclipse_Platform_UI,10
59528,254439,SWT,11
60101,279072,JDT,3
60277,331755,Eclipse_Platform_UI,7
60715,279939,JDT,8
61005,276063,JDT,11
62863,272595,JDT,2
62982,251736,SWT,6
63003,252348,SWT,10
63154,253062,SWT,1
63266,218637,SWT,8
63529,270657,JDT,10
63688,260865,JDT,11
63769,270708,JDT,11
63845,270045,JDT,1
64568,42942,AspectJ,9
64897,268413,JDT,11
65444,325482,Eclipse_Platform_UI,11
65695,249594,SWT,7
65711,326196,Eclipse_Platform_UI,8
66092,265251,JDT,11
66354,246942,JDT,11
66439,325686,Eclipse_Platform_UI,1
66548,263160,JDT,10
66664,263058,JDT,7
66717,248829,SWT,4
67046,262344,JDT,1
67355,249135,SWT,8
67626,222258,SWT,5
68096,248319,SWT,11
68273,245667,SWT,9
68787,293607,Eclipse_Platform_UI,5
70160,246534,SWT,2
71640,301410,Eclipse_Platform_UI,11
72046,258060,JDT,1
72046,258111,JDT,5
72426,320637,Eclipse_Platform_UI,3
72784,217515,SWT,9
72784,217566,SWT,9
73027,322881,Eclipse_Platform_UI,2
73027,322932,Eclipse_Platform_UI,2
73100,240516,SWT,4
73890,257193,JDT,10
74241,242250,SWT,5
74627,247044,JDT,11
74882,241332,SWT,11
76374,36414,AspectJ,1
76506,320892,Eclipse_Platform_UI,7
77076,35547,AspectJ,1
77269,34629,AspectJ,1
77439,252807,JDT,4
77738,319311,Eclipse_Platform_UI,11
77839,253164,JDT,1
77950,248931,JDT,1
77983,239139,SWT,10
78051,248676,JDT,1
78261,42840,AspectJ,7
78562,238680,SWT,8
79881,226236,SWT,10
79989,247962,JDT,11
81098,241128,JDT,11
81140,240516,JDT,3
81250,240057,JDT,11
81598,317883,Eclipse_Platform_UI,10
82336,229755,SWT,7
82475,241893,JDT,3
82703,230724,SWT,5
82743,294780,Eclipse_Platform_UI,9
82989,42483,AspectJ,10
82989,42585,AspectJ,11
83133,186354,SWT,5
83262,235875,SWT,6
83697,241179,JDT,11
83935,43401,AspectJ,10
84314,281265,Eclipse_Platform_UI,11
84586,314772,Eclipse_Platform_UI,7
85119,232713,SWT,11
85312,223737,SWT,1
85377,234498,JDT,4
85547,231948,SWT,8
85831,232764,JDT,10
85875,231795,SWT,2
86057,42789,AspectJ,11
86830,220014,SWT,8
87294,220473,SWT,3
87636,218535,SWT,11
87664,230061,SWT,5
87695,227511,SWT,11
87695,228582,SWT,11
88188,232968,JDT,8
88653,306561,Eclipse_Platform_UI,6
88741,231591,JDT,10
88941,231234,JDT,2
89139,307428,Eclipse_Platform_UI,3
90223,226083,SWT,3
90246,215628,SWT,1
90246,215679,SWT,3
90646,291975,Eclipse_Platform_UI,9
91114,42891,AspectJ,10
91159,218178,SWT,6
91417,32589,AspectJ,10
91417,32691,AspectJ,10
91417,32895,AspectJ,9
91417,33048,AspectJ,10
91417,33150,AspectJ,5
91417,33354,AspectJ,11
93380,195993,SWT,1
93918,217311,SWT,3
94438,302328,Eclipse_Platform_UI,10
94818,217107,SWT,2
94946,214965,SWT,7
95974,301155,Eclipse_Platform_UI,8
96114,301002,Eclipse_Platform_UI,4
96212,210528,SWT,10
96494,213996,SWT,4
97011,212721,SWT,3
97125,212160,SWT,5
98332,299829,Eclipse_Platform_UI,7
99167,210069,SWT,5
99167,210171,SWT,3
99167,210273,SWT,9
99191,31263,AspectJ,11
99381,194157,SWT,3
100231,208896,SWT,11
101606,40800,AspectJ,10
102543,207315,SWT,1
103051,28968,AspectJ,2
103157,28560,AspectJ,3
103157,28815,AspectJ,6
103299,282693,Eclipse_Platform_UI,1
103740,40035,AspectJ,1
104024,41973,AspectJ,11
104212,43197,AspectJ,1
104720,42381,AspectJ,3
104957,36465,AspectJ,5
105133,205326,SWT,9
105213,205785,SWT,3
105665,296259,Eclipse_Platform_UI,7
105809,296514,Eclipse_Platform_UI,9
105849,205530,SWT,4
107377,290088,Eclipse_Platform_UI,2
107713,42279,AspectJ,1
107858,41871,AspectJ,1
108117,33762,AspectJ,6
108117,33915,AspectJ,1
108117,34119,AspectJ,1
108117,34272,AspectJ,6
108117,34425,AspectJ,6
108117,34476,AspectJ,6
108118,34833,AspectJ,10
108120,36669,AspectJ,1
108120,36771,AspectJ,9
108120,37026,AspectJ,7
108120,37434,AspectJ,8
108120,37485,AspectJ,8
108120,37689,AspectJ,9
108120,37740,AspectJ,6
108120,37995,AspectJ,7
108120,38097,AspectJ,6
108120,38148,AspectJ,6
108120,38301,AspectJ,6
108120,38352,AspectJ,8
108120,38454,AspectJ,6
108120,38505,AspectJ,9
108120,39015,AspectJ,8
108120,39423,AspectJ,6
108120,39729,AspectJ,9
108143,291414,Eclipse_Platform_UI,10
108624,291210,Eclipse_Platform_UI,4
108826,40086,AspectJ,8
108826,40137,AspectJ,7
108886,40341,AspectJ,9
108892,30906,AspectJ,7
108996,186915,SWT,10
109016,40188,AspectJ,10
109173,36108,AspectJ,2
109283,36210,AspectJ,10
109283,36261,AspectJ,10
109283,36312,AspectJ,10
109283,36363,AspectJ,10
110346,199869,SWT,9
112027,31773,AspectJ,2
112490,289323,Eclipse_Platform_UI,3
112615,31314,AspectJ,10
112615,31365,AspectJ,10
113073,31620,AspectJ,1
113073,31671,AspectJ,1
113118,30447,AspectJ,2
113178,274278,Eclipse_Platform_UI,6
113244,195840,SWT,2
113510,30804,AspectJ,11
113557,288864,Eclipse_Platform_UI,1
113861,31161,AspectJ,2
114390,287589,Eclipse_Platform_UI,5
114390,287844,Eclipse_Platform_UI,1
115235,30294,AspectJ,1
115235,30396,AspectJ,1
115607,29172,AspectJ,11
116255,30192,AspectJ,3
116305,30243,AspectJ,1
116755,29325,AspectJ,5
116755,29529,AspectJ,4
116755,29631,AspectJ,8
116755,29682,AspectJ,1
116755,29835,AspectJ,5
116755,29937,AspectJ,4
117149,359397,Birt,9
117189,28917,AspectJ,10
117614,27693,AspectJ,3
117614,27744,AspectJ,3
117614,27897,AspectJ,1
117614,27948,AspectJ,1
117614,27999,AspectJ,2
117816,194055,SWT,1
118240,193953,SWT,3
118698,27132,AspectJ,11
118715,26673,AspectJ,10
118715,26724,AspectJ,2
118715,26826,AspectJ,6
118715,26877,AspectJ,3
119352,26571,AspectJ,11
120543,26214,AspectJ,11
120921,279174,Eclipse_Platform_UI,11
121383,304419,Birt,1
122053,280449,Eclipse_Platform_UI,8
123375,275706,Eclipse_Platform_UI,11
123375,275961,Eclipse_Platform_UI,11
123375,276522,Eclipse_Platform_UI,5
123496,279021,Eclipse_Platform_UI,9
123922,180183,SWT,1
123922,180387,SWT,1
123922,180540,SWT,1
123922,180897,SWT,1
123977,279480,Eclipse_Platform_UI,1
123989,277797,Eclipse_Platform_UI,11
124414,191658,SWT,1
124839,359754,Birt,10
125060,356643,Birt,2
126779,272748,Eclipse_Platform_UI,10
126839,256275,Eclipse_Platform_UI,4
126839,256530,Eclipse_Platform_UI,4
126839,258774,Eclipse_Platform_UI,1
127070,355368,Birt,9
127523,261528,Eclipse_Platform_UI,3
127523,261630,Eclipse_Platform_UI,11
127861,265506,Eclipse_Platform_UI,11
127861,268464,Eclipse_Platform_UI,1
127861,268617,Eclipse_Platform_UI,1
127861,269688,Eclipse_Platform_UI,1
127861,271218,Eclipse_Platform_UI,11
128359,353634,Birt,2
129246,261426,Eclipse_Platform_UI,5
129535,188649,SWT,10
129700,355317,Birt,7
130101,188139,SWT,3
130338,251430,Eclipse_Platform_UI,8
131008,347055,Birt,1
131008,347208,Birt,11
131160,186711,SWT,3
131649,342822,Birt,1
131978,253521,Eclipse_Platform_UI,8
132101,253929,Eclipse_Platform_UI,11
132401,306714,Birt,6
132914,325533,Birt,7
132943,331908,Birt,4
133183,174522,SWT,3
134057,349503,Birt,8
134353,176919,SWT,2
134760,173145,SWT,1
134760,173553,SWT,11
134948,345780,Birt,7
135088,251022,Eclipse_Platform_UI,1
135444,332316,Birt,9
136067,343587,Birt,8
136256,339813,Birt,4
136724,245055,Eclipse_Platform_UI,7
137310,248268,Eclipse_Platform_UI,1
137320,178755,SWT,1
137640,247146,Eclipse_Platform_UI,10
137640,247197,Eclipse_Platform_UI,10
138404,246279,Eclipse_Platform_UI,2
138556,337722,Birt,5
138562,331398,Birt,11
138824,246483,Eclipse_Platform_UI,9
139110,334254,Birt,5
139365,333387,Birt,6
139511,245616,Eclipse_Platform_UI,10
140697,215373,Eclipse_Platform_UI,4
142430,322116,Birt,11
142787,305541,Birt,10
143104,324105,Birt,1
143105,329154,Birt,11
145303,320637,Birt,6
145526,176154,SWT,3
145698,318903,Birt,6
145724,319617,Birt,7
145970,318750,Birt,2
146208,287589,Birt,7
146250,172992,SWT,3
146481,317424,Birt,9
146548,316506,Birt,3
146867,308856,Birt,10
147218,315486,Birt,6
147530,218892,Eclipse_Platform_UI,1
147545,243372,Eclipse_Platform_UI,7
147737,242760,Eclipse_Platform_UI,11
147819,313752,Birt,7
147977,265251,Birt,11
148392,310284,Birt,4
148626,251226,Birt,9
148724,311763,Birt,6
148743,308907,Birt,8
148747,311967,Birt,9
148747,312069,Birt,9
150347,308142,Birt,1
150347,308346,Birt,10
150764,172023,SWT,1
150805,212109,Eclipse_Platform_UI,10
151361,292842,Birt,1
152443,260406,Birt,10
154328,300594,Birt,8
155496,292332,Birt,10
155551,288252,Birt,10
156166,290955,Birt,10
157135,289221,Birt,4
157722,288711,Birt,2
160276,286161,Birt,3
160650,284631,Birt,1
160700,233682,Eclipse_Platform_UI,10
161222,280194,Birt,2
161401,232305,Eclipse_Platform_UI,5
161828,232815,Eclipse_Platform_UI,4
161912,283356,Birt,4
162805,227766,Eclipse_Platform_UI,4
162916,231744,Eclipse_Platform_UI,1
163732,281877,Birt,8
164217,227409,Eclipse_Platform_UI,10
166015,266679,Birt,7
166029,278358,Birt,1
166443,274839,Birt,5
167080,224808,Birt,10
167450,220167,Eclipse_Platform_UI,2
167893,214557,Eclipse_Platform_UI,1
169529,215526,Eclipse_Platform_UI,10
169694,213792,Eclipse_Platform_UI,9
169696,213996,Eclipse_Platform_UI,9
169697,213384,Eclipse_Platform_UI,7
171415,211854,Eclipse_Platform_UI,7
171998,212262,Eclipse_Platform_UI,7
172097,271065,Birt,5
172604,260253,Birt,10
173601,262242,Birt,11
175406,267342,Birt,1
175954,257142,Birt,1
175954,257244,Birt,4
176299,241842,Birt,1
176467,219708,Birt,6
176875,263466,Birt,6
177864,256173,Birt,7
177864,256275,Birt,2
177864,256683,Birt,2
177870,261426,Birt,6
178179,258672,Birt,6
178179,258927,Birt,1
178682,238782,Birt,10
179661,239700,Birt,5
180189,253317,Birt,9
180366,243678,Birt,11
180414,253827,Birt,3
180645,243933,Birt,10
180842,250308,Birt,1
180879,247044,Birt,8
182000,238986,Birt,4
182519,244596,Birt,9
183562,236895,Birt,2
183733,234600,Birt,11
183733,235110,Birt,2
183897,237609,Birt,1
183910,237456,Birt,10
186861,227358,Birt,11
186965,228939,Birt,11
187201,226746,Birt,1
187201,226848,Birt,10
188204,218535,Birt,7
188829,219147,Birt,8
188835,218943,Birt,9
189108,217770,Birt,9
